,Title,Price,Rooms,Area,Floor,Building Floors,Condition,Material,Address,Lift,Security,Internet,Playground,Sauna,Sewerage,Fridge,Telephone Line,Separate Bathrooms,Surveillance,Pool,Water,Microwave,Parking,AC,TV,Washing Machine,Cable TV,Furniture,Gas
870,3-комнатная квартира на продажу,125 000 у.е.,3,75 м²,3,4,Евроремонт,Другое,"город Ташкент, Яккасарайский район, махаллинский сход граждан Ракат, улица Шота Руставели",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1
871,4-комнатная квартира на продажу,114 000 у.е.,4,105 м²,7,10,Евроремонт,Другое,"город Ташкент, Яшнободский район, махаллинский сход граждан Машинасозлар, улица Махтумкули",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
872,3-комнатная квартира на продажу,190 000 у.е.,3,130 м²,4,5,Евроремонт,Другое,"город Ташкент, Яшнободский район, махаллинский сход граждан Фидойилар, улица Эльбека",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
873,1-комнатная квартира на продажу,40 000 у.е.,1,45 м²,6,9,Черновая отделка,Монолитный,"город Ташкент, Яшнободский район, махаллинский сход граждан Куксарой, улица Чигил",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
874,4-комнатная квартира на продажу,170 000 у.е.,4,136 м²,6,8,Авторский проект,Кирпичный,"город Ташкент, Алмазарский район, махаллинский сход граждан Ачабад, 30-й тупик Сагбан",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,2-комнатная квартира на продажу,78 000 у.е.,2,71 м²,5,10,Черновая отделка,Монолитный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Буюк Ипак Йули, 5-й проезд Сайрам",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876,2-комнатная квартира на продажу,135 000 у.е.,2,60 м²,4,4,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Шахрисабз",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,1-комнатная квартира на продажу,65 000 у.е.,1,37 м²,4,9,Евроремонт,Блочный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Хамид Сулаймонов, улица Шота Руставели",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,4-комнатная квартира на продажу,170 000 у.е.,4,136 м²,6,8,Авторский проект,Кирпичный,"город Ташкент, Алмазарский район, махаллинский сход граждан Ачабад, 30-й тупик Сагбан",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879,4-комнатная квартира на продажу,115 000 у.е.,4,112 м²,7,9,Средний,Блочный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Нур, улица Шастри",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
