,Title,Price,Rooms,Area,Floor,Building floors,Condition,Style,Province,District,Neighborhood
2223,квартира сотилади,630 000 000 сум,3.0,85.0,3.0,4.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Baxor MFY
2224,квартира сотилади,570 937 500 сум,2.0,68.0,3.0,9.0,Яхши,Оддий,Навоий вилояти,Навоий шаҳри,Baxor MFY
2225,Кўп қаватли турар жой,220 720 805 сум,3.0,86.68,7.0,7.0,Қониқарсиз,Оддий,Қашқадарё вилояти,Қарши шаҳри,Xuja-Xiyol MFY
2226,Кўп қаватли турар жой,338 100 000 сум,3.0,77.65,2.0,5.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Buston MFY
2227,Кўп қаватли турар жой,308 700 000 сум,3.0,78.45,2.0,5.0,Қониқарсиз,Оддий,Сурхондарё вилояти,Термиз шаҳри,Buston MFY
2228,Кўп қаватли турар жой,302 400 000 сум,3.0,118.1,2.0,5.0,Қониқарсиз,Оддий,Сурхондарё вилояти,Термиз шаҳри,Buston MFY
2229,Кўп қаватли турар жой,224 496 360 сум,1.0,47.5,1.0,4.0,Яхши,Оддий,Сурхондарё вилояти,Термиз шаҳри,Guliston MFY
2230,Кўп қаватли турар жой,323 246 000 сум,2.0,65.73,1.0,5.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Shodlik MFY
2231,Кўп қаватли турар жой,488 753 378 сум,2.0,102.65,3.0,6.0,Қониқарли,Оддий,Бухоро вилояти,Бухоро шаҳри,Abu Ali Ibn Sino MFY
2232,квартира сотилади,575 100 000 сум,3.0,82.6,3.0,5.0,Қониқарли,Оддий,Навоий вилояти,Навоий шаҳри,Baxor MFY
2233,Кўп қаватли турар жой,352 652 800 сум,3.0,55.4,3.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Kuruvchi MFY
2234,Кўп қаватли турар жой,852 600 000 сум,2.0,68.77,1.0,6.0,Яхши,Оддий,Тошкент шаҳар,Юнусобод тумани,Qadrdon MFY
2235,квартира,295 000 000 сум,2.0,50.0,1.0,4.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Umid MFY
2236,квартира,550 000 000 сум,5.0,96.0,3.0,3.0,Яхши,Оддий,Хоразм вилояти,Урганч шаҳри,Olimpiya MFY
2237,квартира,200 000 000 сум,1.0,25.0,2.0,2.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Do‘stlik MFY
