,Title,Price,Rooms,Area,Floor,Building floors,Condition,Style,Province,District,Neighborhood
0,Кўп қаватли турар жой,696 080 000 сум,3.0,103.48,1.0,6.0,Яхши,Оддий,Сирдарё вилояти,Гулистон шаҳри,Tarakkiyot MFY
1,Ko‘p qavatli ko‘p kvartirali turar-joy qurilishi,290 000 000 сум,2.0,46.0,4.0,4.0,Қониқарли,Оддий,Қашқадарё вилояти,Қарши шаҳри,A.Temur MFY
2,Кўп қаватли турар жой,550 000 000 сум,2.0,66.61,6.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
3,Кўп қаватли турар жой,264 468 750 сум,4.0,73.17,1.0,5.0,Қониқарли,Оддий,Тошкент вилояти,Янгийўл шаҳри,Mustakillik MFY
4,Кўп қаватли турар жой,310 000 000 сум,2.0,42.62,4.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,O‘zbekiston MFY
5,Кўп қаватли турар жой,1 250 000 000 сум,5.0,88.0,1.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Yoshlik MFY
6,Ko‘p qavatli ko‘p kvartirali turar-joy qurilishi,405 000 000 сум,2.0,54.24,4.0,7.0,Яхши,Оддий,Сурхондарё вилояти,Термиз шаҳри,Bogishamol MFY
7,Кўп қаватли турар жой,320 000 000 сум,1.0,40.36,1.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
8,Кўп қаватли турар жой,350 000 000 сум,1.0,36.91,4.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Tinchlik MFY
9,Кўп қаватли турар жой,191 625 000 сум,1.0,31.1,3.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Бўстонлиқ тумани,Fazogir MFY
10,Кўп қаватли уйдаги хонадон,233 860 000 сум,3.0,68.48,1.0,2.0,Қониқарли,Оддий,Тошкент вилояти,Оҳангарон шаҳри,Oxunboboev MFY
11,Кўп қаватли турар жой,415 800 000 сум,3.0,80.42,1.0,5.0,Яхши,Оддий,Сирдарё вилояти,Гулистон шаҳри,Istiklol MFY
12,Кўп қаватли турар жой,711 819 785 сум,4.0,96.43,2.0,4.0,Яхши,Оддий,Сирдарё вилояти,Гулистон шаҳри,Namuna MFY
13,Кўп қаватли турар жой,300 000 000 сум,2.0,40.85,1.0,2.0,Яхши,Оддий,Жиззах вилояти,Зомин тумани,Sh.Rashidov MF
14,Кўп қаватли турар жой,512 820 000 сум,6.0,148.64,1.0,4.0,Яхши,Оддий,Тошкент вилояти,Янгийўл шаҳри,Ramadon MFY
15,Кўп қаватли турар жой,255 000 000 сум,1.0,44.0,4.0,5.0,Қониқарсиз,Оддий,Навоий вилояти,Зарафшон шаҳри,Yulduz MFY
16,Кўп қаватли турар жой,480 000 000 сум,2.0,56.8,5.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Geolog MFY
17,Кўп қаватли турар жой,310 000 000 сум,1.0,49.0,1.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Baxor MFY
18,Кўп қаватли турар жой,630 000 000 сум,3.0,62.3,4.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
19,Кўп қаватли турар жой,280 000 000 сум,2.0,46.82,3.0,5.0,Яхши,Оддий,,Сурхондарё вилояти,Manguzar MFY
20,Кўп қаватли турар жой,294 662 130 сум,2.0,43.7,2.0,2.0,Яхши,Оддий,Тошкент вилояти,Янгийўл шаҳри,Baxt MFY
21,Кўп қаватли турар жой,190 089 200 сум,2.0,46.82,3.0,5.0,Яхши,Оддий,Сурхондарё вилояти,Термиз шаҳри,Manguzar MFY
22,Кўп қаватли турар жой,529 100 000 сум,3.0,89.07,7.0,9.0,Яхши,Оддий,Сурхондарё вилояти,Термиз шаҳри,Bogishamol MFY
23,Кўп қаватли турар жой,341 173 800 сум,2.0,64.9,4.0,5.0,Яхши,Оддий,Сурхондарё вилояти,Термиз шаҳри,Do‘stlik MFY
24,Кўп қаватли турар жой,330 000 000 сум,2.0,58.7,3.0,4.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Buston MFY
25,Ko‘p qavatli ko‘p kvartirali turar-joy qurilishi,315 000 000 сум,2.0,58.56,1.0,4.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Buston MFY
26,Кўп қаватли турар жой,350 000 000 сум,3.0,60.39,1.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Жиззах шаҳри,Madaniyat MFY
27,Кўп қаватли турар жой,860 210 000 сум,3.0,132.34,2.0,7.0,Яхши,Оддий,Жиззах вилояти,Жиззах шаҳри,Mirzo Ulugbek MFY
28,Кўп қаватли турар жой,560 000 000 сум,2.0,51.33,8.0,9.0,Яхши,Оддий,Жиззах вилояти,Жиззах шаҳри,Zargarlik MFY
29,Кўп қаватли турар жой,800 000 000 сум,3.0,147.29,4.0,7.0,Яхши,Оддий,Жиззах вилояти,Жиззах шаҳри,Mirzo Ulugbek MFY
30,Кўп қаватли турар жой,260 000 000 сум,2.0,31.78,1.0,3.0,Қониқарли,Оддий,Наманган вилояти,Наманган шаҳри,Davlatobod MFY
31,Кўп қаватли турар жой,335 000 000 сум,2.0,46.65,2.0,4.0,Яхши,Оддий,Жиззах вилояти,Жиззах шаҳри,Kimyogar MFY
32,Кўп қаватли турар жой,325 000 000 сум,3.0,80.0,1.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Пахтакор тумани,Dustlik MFY
33,Кўп қаватли турар жой,150 000 000 сум,3.0,68.2,1.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Зомин тумани,Beruniy MFY
34,Кўп қаватли турар жой,170 000 000 сум,3.0,80.0,1.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Зомин тумани,Beruniy MFY
35,Кўп қаватли турар жой,310 000 000 сум,1.0,46.43,5.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Yulduz MFY
36,Кўп қаватли турар жой,365 000 000 сум,2.0,52.51,3.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Tinchlik MFY
37,Кўп қаватли турар жой,570 000 000 сум,3.0,63.09,3.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Yoshlik MFY
38,Кўп қаватли турар жой,300 000 000 сум,1.0,34.46,2.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Geolog MFY
39,Кўп қаватли турар жой,236 000 000 сум,2.0,42.9,1.0,5.0,Яхши,Оддий,Жиззах вилояти,Шароф Рашидов тумани,Tokchilik MFY
40,Кўп қаватли турар жой,508 000 000 сум,3.0,84.49,12.0,16.0,Қониқарли,Оддий,Жиззах вилояти,Жиззах шаҳри,Olmazor MFY
41,Кўп қаватли турар жой,364 000 000 сум,3.0,63.48,2.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Жиззах шаҳри,Zaxiriddin Muxammad Bobur MFY
42,Кўп қаватли турар жой,300 000 000 сум,2.0,47.73,4.0,4.0,Яхши,Оддий,Хоразм вилояти,Урганч шаҳри,Bo‘ston MFY
43,Кўп қаватли турар жой,400 000 000 сум,2.0,52.5,2.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Geolog MFY
44,Кўп қаватли турар жой,280 000 000 сум,1.0,37.7,1.0,9.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
45,Кўп қаватли турар жой,515 000 000 сум,3.0,83.97,9.0,16.0,Яхши,Оддий,Жиззах вилояти,Жиззах шаҳри,Olmazor MFY
46,Кўп қаватли турар жой,340 000 000 сум,3.0,56.32,4.0,4.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Avesto MFY
47,Кўп қаватли турар жой,250 000 000 сум,3.0,68.0,2.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Пахтакор тумани,Samarkand MFY
48,Кўп қаватли турар жой,310 000 000 сум,2.0,68.76,1.0,2.0,Яхши,Оддий,Жиззах вилояти,Пахтакор тумани,Dilorom MFY
49,Кўп қаватли турар жой,400 000 000 сум,2.0,46.64,2.0,9.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Konchilar MFY
50,Кўп қаватли турар жой,830 000 000 сум,4.0,114.53,5.0,7.0,Яхши,Оддий,Сурхондарё вилояти,Термиз шаҳри,Navruz MFY
51,Кўп қаватли турар жой,410 000 000 сум,3.0,72.0,3.0,4.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Do‘stlik MFY
52,Кўп қаватли турар жой,300 000 000 сум,2.0,49.94,1.0,4.0,Яхши,Оддий,Хоразм вилояти,Янгибозор тумани,Do‘stlik MFY
53,Кўп қаватли турар жой,655 350 000 сум,3.0,77.1,5.0,7.0,Яхши,Оддий,Жиззах вилояти,Жиззах шаҳри,Mirzo Ulugbek MFY
54,Кўп қаватли турар жой,350 000 000 сум,2.0,59.28,1.0,4.0,Қониқарли,Оддий,Жиззах вилояти,Жиззах шаҳри,Ittifok MFY
55,Кўп қаватли турар жой,350 000 000 сум,1.0,39.11,5.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Baxor MFY
56,Кўп қаватли турар жой,435 000 000 сум,2.0,74.1,3.0,3.0,Қониқарли,Оддий,,Сурхондарё вилояти,Guliston MFY
57,Кўп қаватли турар жой,400 000 000 сум,2.0,44.04,3.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Geolog MFY
58,Кўп қаватли турар жой,360 000 000 сум,2.0,43.27,4.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Yoshlik MFY
59,Кўп қаватли турар жой,350 000 000 сум,1.0,38.5,4.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Yulduz MFY
60,Кўп қаватли турар жой,407 000 000 сум,2.0,54.05,2.0,9.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Bogishamol MFY
61,Кўп қаватли турар жой,360 000 000 сум,1.0,47.02,5.0,8.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Baxor MFY
62,Кўп қаватли турар жой,380 000 000 сум,2.0,71.52,5.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Baxor MFY
63,Кўп қаватли турар жой,350 000 000 сум,2.0,64.46,5.0,5.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Do‘stlik MFY
64,Кўп қаватли турар жой,487 575 000 сум,2.0,88.65,5.0,7.0,Қониқарсиз,Оддий,Жиззах вилояти,Жиззах шаҳри,Mirzo Ulugbek MFY
65,Кўп қаватли турар жой,650 000 000 сум,3.0,112.82,4.0,7.0,Яхши,Оддий,Жиззах вилояти,Жиззах шаҳри,Mirzo Ulugbek MFY
66,Кўп қаватли турар жой,1 476 799 520 сум,4.0,131.17,6.0,6.0,Яхши,Оддий,Самарқанд вилояти,Самарқанд шаҳри,Mustaqillik MFY
67,Кўп қаватли турар жой,470 000 000 сум,2.0,64.46,5.0,5.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Do‘stlik MFY
68,Кўп қаватли турар жой,400 000 000 сум,2.0,50.8,1.0,5.0,Яхши,Оддий,Хоразм вилояти,Урганч шаҳри,Nurli hayot MFY
69,Кўп қаватли турар жой,490 000 000 сум,2.0,63.4,3.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Yulduz MFY
70,Кўп қаватли турар жой,420 000 000 сум,2.0,48.89,1.0,5.0,Қониқарли,Оддий,Хоразм вилояти,Урганч шаҳри,Nurli hayot MFY
71,Кўп қаватли турар жой,420 000 000 сум,2.0,63.88,5.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Alisher Navoiy MFY
72,Кўп қаватли турар жой,550 000 000 сум,2.0,44.04,1.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Tinchlik MFY
73,Кўп қаватли турар жой,330 000 000 сум,1.0,47.56,7.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
74,Кўп қаватли турар жой,350 000 000 сум,2.0,44.04,2.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Geolog MFY
75,Кўп қаватли турар жой,300 000 000 сум,1.0,52.34,8.0,9.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
76,Кўп қаватли турар жой,380 000 000 сум,2.0,43.23,3.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Konchilar MFY
77,Кўп қаватли турар жой,430 000 000 сум,2.0,54.2,4.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Konchilar MFY
78,Кўп қаватли турар жой,320 000 000 сум,1.0,41.19,5.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
79,Кўп қаватли турар жой,350 000 000 сум,2.0,43.23,2.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Kuruvchi MFY
80,Кўп қаватли турар жой,550 000 000 сум,2.0,82.14,7.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Baxor MFY
81,Кўп қаватли турар жой,350 000 000 сум,1.0,56.8,2.0,7.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
82,Кўп қаватли турар жой,350 000 000 сум,2.0,53.95,1.0,5.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,O‘zbekiston MFY
83,Кўп қаватли турар жой,250 000 000 сум,2.0,46.64,9.0,9.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Konchilar MFY
84,Кўп қаватли турар жой,280 000 000 сум,1.0,33.78,4.0,5.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
85,Кўп қаватли турар жой,600 000 000 сум,3.0,82.51,1.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Yulduz MFY
86,Кўп қаватли турар жой,197 080 500 сум,2.0,46.82,3.0,5.0,Яхши,Оддий,Сурхондарё вилояти,Термиз шаҳри,Manguzar MFY
87,Кўп қаватли турар жой,529 100 000 сум,3.0,89.07,3.0,9.0,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Bogishamol MFY
88,Кўп қаватли турар жой,256 258 730 сум,2.0,57.47,3.0,5.0,Қониқарли,Оддий,Тошкент вилояти,Оҳангарон шаҳри,Buston MFY
89,Кўп қаватли турар жой,590 000 000 сум,4.0,94.67,3.0,4.0,Яхши,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Doslik MFY
90,Кўп қаватли турар жой,270 000 000 сум,2.0,50.2,2.0,5.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Guzar MFY
91,Кўп қаватли турар жой,472 000 000 сум,2.0,71.55,5.0,5.0,Қониқарли,Оддий,Қашқадарё вилояти,Қарши шаҳри,Ogtepa ( F.Xujaev) MFY
92,Кўп қаватли турар жой,530 000 000 сум,2.0,80.92,5.0,5.0,Қониқарли,Оддий,Қашқадарё вилояти,Қарши шаҳри,Ogtepa ( F.Xujaev) MFY
93,Кўп қаватли турар жой,440 000 000 сум,1.0,56.8,5.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
94,Кўп қаватли турар жой,970 000 000 сум,5.0,149.3,2.0,4.0,Қониқарли,Оддий,Қашқадарё вилояти,Қарши шаҳри,Mustagillik MFY
95,Кўп қаватли турар жой,400 000 000 сум,2.0,70.66,4.0,4.0,Яхши,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Garezsizlik MFY
96,Кўп қаватли турар жой,430 000 000 сум,2.0,49.81,4.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Yoshlik MFY
97,Кўп қаватли турар жой,330 000 000 сум,2.0,55.73,3.0,9.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Baxor MFY
98,Кўп қаватли турар жой,70 000 000 сум,3.0,58.64,3.0,4.0,Қониқарли,Оддий,Қашқадарё вилояти,Косон тумани,Paxtazor MFY
99,Кўп қаватли турар жой,370 000 000 сум,2.0,47.1,1.0,3.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Alisher Navoiy MFY
100,Турар жой,95 000 000 сум,1.0,55.39,1.0,2.0,Қониқарли,Оддий,Қашқадарё вилояти,Косон тумани,Paxtazor MFY
101,Кўп қаватли турар жой,320 000 000 сум,2.0,49.81,5.0,5.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Yoshlik MFY
102,Кўп қаватли турар жой,350 000 000 сум,1.0,43.23,4.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
103,Кўп қаватли турар жой,500 000 000 сум,3.0,88.29,5.0,6.0,Яхши,Оддий,Қашқадарё вилояти,Қарши шаҳри,Maxallot MFY
104,Кўп қаватли турар жой,265 000 000 сум,3.0,77.53,4.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Temir jol MFY
105,Кўп қаватли турар жой,115 000 000 сум,1.0,25.67,4.0,5.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Xaliklar dosligi MFY
106,Кўп қаватли турар жой,120 000 000 сум,1.0,50.45,4.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Xaliklar dosligi MFY
107,Кўп қаватли турар жой,130 000 000 сум,2.0,46.31,1.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Xaliklar dosligi MFY
108,Кўп қаватли турар жой,170 000 000 сум,3.0,52.84,4.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Tekiyatas MFY
109,Кўп қаватли турар жой,236 096 000 сум,3.0,66.45,4.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Нурафшон шаҳри,Yuksalish MFY
110,Кўп қаватли турар жой,350 000 000 сум,1.0,45.1,3.0,6.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Yulduz MFY
111,Кўп қаватли турар жой,170 000 000 сум,3.0,67.92,3.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Xaliklar dosligi MFY
112,Кўп қаватли турар жой,350 000 000 сум,2.0,51.62,5.0,5.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
113,Кўп қаватли турар жой,150 000 000 сум,2.0,63.67,4.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Xaliklar dosligi MFY
114,Кўп қаватли турар жой,72 000 000 сум,1.0,24.35,1.0,2.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Abat makan MFY
115,Кўп қаватли турар жой,494 400 000 сум,3.0,86.01,6.0,7.0,Яхши,Оддий,Андижон вилояти,Андижон шаҳри,O‘zbegim MFY
116,Кўп қаватли турар жой,390 000 000 сум,2.0,49.81,3.0,5.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Yoshlik MFY
117,Кўп қаватли турар жой,130 000 000 сум,2.0,46.85,1.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Tekiyatas MFY
118,Кўп қаватли турар жой,594 000 000 сум,3.0,80.7,3.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Yulduz MFY
119,Кўп қаватли турар жой,300 000 000 сум,2.0,32.52,3.0,9.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Konchilar MFY
120,Кўп қаватли турар жой,145 000 000 сум,2.0,52.69,4.0,4.0,Яхши,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Xaliklar dosligi MFY
121,Кўп қаватли турар жой,410 000 000 сум,2.0,49.81,3.0,5.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Kuruvchi MFY
122,Кўп қаватли турар жой,170 000 000 сум,3.0,61.27,2.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Xaliklar dosligi MFY
123,Кўп қаватли турар жой,180 000 000 сум,3.0,71.51,3.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Xaliklar dosligi MFY
124,Кўп қаватли турар жой,500 000 000 сум,3.0,54.2,1.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,O‘zbekiston MFY
125,Кўп қаватли турар жой,400 000 000 сум,2.0,42.62,1.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Kuruvchi MFY
126,Кўп қаватли турар жой,510 000 000 сум,2.0,54.25,3.0,5.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,O‘zbekiston MFY
127,Кўп қаватли турар жой,350 000 000 сум,4.0,80.2,1.0,5.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Guzar MFY
128,Кўп қаватли турар жой,350 000 000 сум,2.0,54.2,1.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Alisher Navoiy MFY
129,Кўп қаватли турар жой,360 000 000 сум,4.0,77.89,2.0,3.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Garezsizlik MFY
130,Кўп қаватли турар жой,375 000 000 сум,3.0,79.59,1.0,5.0,Қониқарли,Оддий,Қашқадарё вилояти,Қарши шаҳри,Chulquvar MFY
131,Кўп қаватли турар жой,630 000 000 сум,3.0,65.2,2.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
132,Кўп қаватли турар жой,786 965 323 сум,2.0,72.49,1.0,9.0,Яхши,Оддий,Тошкент шаҳар,Яшнобод тумани,Jo‘rabek MFY
133,Кўп қаватли турар жой,954 000 000 сум,2.0,62.58,1.0,9.0,Яхши,Оддий,Тошкент шаҳар,Чилонзор тумани,Lutfiy MFY
134,Кўп қаватли турар жой,520 000 000 сум,3.0,92.95,2.0,7.0,Қониқарсиз,Оддий,Хоразм вилояти,Урганч шаҳри,Nurli hayot MFY
135,Кўп қаватли турар жой,1 354 500 000 сум,4.0,99.74,2.0,4.0,Яхши,Оддий,Тошкент шаҳар,Чилонзор тумани,Beshchinor MFY
136,Кўп қаватли турар жой,330 000 000 сум,3.0,65.0,1.0,2.0,Яхши,Оддий,Жиззах вилояти,Пахтакор тумани,Dustlik MFY
137,Кўп қаватли турар жой,450 000 000 сум,2.0,43.23,3.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Kuruvchi MFY
138,Кўп қаватли турар жой,770 000 000 сум,4.0,92.5,2.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Yoshlik MFY
139,Кўп қаватли турар жой,700 000 000 сум,3.0,63.4,4.0,4.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Tinchlik MFY
140,Кўп қаватли турар жой,350 000 000 сум,2.0,49.0,4.0,7.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Baxor MFY
141,Кўп қаватли турар жой,380 000 000 сум,1.0,33.8,7.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Baxor MFY
142,Кўп қаватли турар жой,800 000 000 сум,4.0,82.51,2.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Geolog MFY
143,Кўп қаватли турар жой,420 000 000 сум,2.0,47.5,5.0,7.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Oltin vodiy MFY
144,Кўп қаватли турар жой,4 260 000 000 сум,48.0,1689.12,8.0,8.0,Қониқарсиз,Оддий,Жиззах вилояти,Жиззах шаҳри,Mirzo Ulugbek MFY
145,Кўп қаватли турар жой,205 000 000 сум,2.0,46.42,4.0,4.0,Қониқарли,Оддий,Хоразм вилояти,Урганч тумани,Chulobod MFY
146,Кўп қаватли турар жой,590 000 000 сум,2.0,74.0,4.0,4.0,Яхши,Оддий,Навоий вилояти,Навоий шаҳри,Farovon MFY
147,Кўп қаватли турар жой,590 000 000 сум,3.0,88.9,3.0,4.0,Яхши,Оддий,Бухоро вилояти,Бухоро шаҳри,Abdulloyi Sifatmuniy MFY
148,Кўп қаватли турар жой,611 898 000 сум,3.0,69.6,3.0,5.0,Қониқарли,Оддий,Тошкент шаҳар,Олмазор тумани,Shifokorlar MFY
149,Кўп қаватли турар жой,467 187 500 сум,2.0,57.26,9.0,9.0,Яхши,Оддий,Тошкент шаҳар,Бектемир тумани,Mirishkor MFY
150,Кўп қаватли турар жой,319 920 720 сум,3.0,110.91,3.0,7.0,Қониқарсиз,Оддий,Жиззах вилояти,Жиззах шаҳри,Mirzo Ulugbek MFY
151,Ta’lim,365 000 000 сум,1.0,40.57,1.0,8.0,Яхши,Оддий,Навоий вилояти,Навоий шаҳри,Ishonch MFY
152,Кўп қаватли турар жой,200 000 000 сум,2.0,57.72,1.0,2.0,Қониқарли,Оддий,Сурхондарё вилояти,Қумқўрғон тумани,Bogora MFY
153,Кўп қаватли турар жой,115 000 000 сум,2.0,39.34,2.0,2.0,Қониқарсиз,Оддий,Қорақолпоғистон Республикаси,Тахиатош тумани,Oraylik MFY
154,Кўп қаватли турар жой,245 000 000 сум,2.0,42.6,1.0,2.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Элликқалъа тумани,A.Navoiy MFY
155,Кўп қаватли турар жой,330 000 000 сум,2.0,71.48,5.0,5.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Xaliklar dosligi MFY
156,Кўп қаватли турар жой,150 000 000 сум,2.0,41.6,2.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Элликқалъа тумани,Istiqlol MFY
157,Кўп қаватли турар жой,640 120 000 сум,2.0,53.54,6.0,7.0,Қониқарли,Оддий,Тошкент шаҳар,Янги ҳаёт тумани,Marxamat MFY
158,Кўп қаватли турар жой,430 000 000 сум,2.0,51.47,1.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Бўстонлиқ тумани,Beshtut MFY
159,Кўп қаватли турар жой,270 000 000 сум,3.0,92.0,1.0,2.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Элликқалъа тумани,Bo‘ston MFY
160,Кўп қаватли турар жой,918 675 000 сум,3.0,91.23,2.0,5.0,Қониқарли,Оддий,Тошкент шаҳар,Мирзо Улуғбек тумани,Avayxon MFY
161,Кўп қаватли турар жой,115 000 000 сум,2.0,63.97,1.0,2.0,Қониқарли,Оддий,Жиззах вилояти,Зарбдор тумани,Yangiobod MFY
162,Кўп қаватли турар жой,219 375 000 сум,2.0,42.28,1.0,4.0,Яхши,Оддий,Қашқадарё вилояти,Қарши шаҳри,Shodlik MFY
163,Кўп қаватли турар жой,290 000 000 сум,2.0,54.66,2.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Temir jol MFY
164,Кўп қаватли турар жой,420 000 000 сум,2.0,59.98,2.0,5.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Doslik MFY
165,Кўп қаватли турар жой,250 000 000 сум,3.0,67.14,4.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Tungish konis MFY
166,Кўп қаватли турар жой,350 000 000 сум,4.0,80.2,4.0,4.0,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Bereket MFY
